sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other
0,16,1,0,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,11,False,False,True,False,False,False,True,False,False,False,False,False,False
0,16,1,1,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,9,False,True,False,False,False,False,True,False,False,False,True,False,False
0,16,1,0,1,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,9,False,False,False,True,True,False,False,False,True,False,False,True,False
0,15,1,1,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,False,False,True,False,False,False,True,False,False,False,True,False,False
0,16,1,1,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,15,False,False,False,True,False,False,True,False,False,False,False,True,False
1,15,1,0,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,12,False,True,False,False,False,False,True,False,False,False,True,True,False
0,16,1,0,1,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,6,False,False,True,False,False,True,False,False,False,False,False,True,False
0,15,0,1,1,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,True,False,False,False,False,False,True,False,False,False,True,True,False
0,15,0,1,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,False,True,False,False,False,True,False,False,False,False,True,False,False
1,16,1,0,1,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,15,False,True,False,False,False,True,False,False,False,False,True,False,False
1,15,1,0,1,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,False,True,False,False,False,True,False,False,False,False,False,True,False
0,15,0,0,1,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,5,False,True,False,False,False,True,False,False,False,False,True,True,False
1,16,1,0,1,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,14,False,True,False,False,False,True,False,False,False,False,True,True,False
0,16,1,0,1,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,False,True,False,False,False,False,True,False,True,False,False,True,False
1,15,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,10,False,False,False,True,False,True,False,False,True,False,False,True,False
1,15,1,0,1,4,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,10,False,False,False,True,False,True,False,False,False,False,False,True,False
0,16,1,0,1,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,False,True,False,False,False,True,False,False,False,False,True,True,False
1,17,1,0,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,10,False,True,False,False,False,True,False,False,True,False,False,True,False
0,16,1,0,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,False,False,False,False,False,True,False,False,False,False,False,True,False
1,15,1,0,1,2,3,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,12,False,True,False,False,False,False,True,False,False,False,False,False,False
1,15,1,0,1,2,3,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,False,True,False,False,False,True,False,False,True,False,False,True,False
0,15,1,1,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,6,False,False,True,False,False,True,False,False,False,False,True,True,False
1,15,1,1,1,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,False,False,True,False,False,False,True,False,True,False,False,True,False
0,15,1,0,1,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,10,False,True,False,False,False,True,False,False,True,False,False,False,False
0,15,1,0,1,4,4,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,8,False,False,True,False,False,False,True,False,False,False,True,False,False
0,16,1,1,1,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,6,False,False,False,False,False,True,False,False,False,False,False,True,False
0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,14,False,True,False,False,False,True,False,False,False,False,True,True,False
1,16,1,0,1,2,2,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,10,False,False,True,False,False,True,False,False,False,False,True,False,False
1,16,1,1,0,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,7,False,False,False,True,True,False,False,False,False,False,True,True,False
0,16,1,0,1,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,8,False,True,False,False,False,True,False,False,True,False,False,True,False
0,15,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,18,False,False,True,False,False,True,False,False,False,False,True,True,False
0,16,1,1,1,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,6,False,True,False,False,False,True,False,False,True,False,False,False,False
0,16,1,0,1,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,10,False,False,False,True,False,False,True,False,True,False,False,True,False
1,15,1,1,1,2,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,14,False,False,True,False,True,False,False,False,False,False,True,True,False
0,15,0,0,1,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,10,False,False,False,False,False,True,False,False,True,False,False,True,False
1,16,0,0,1,4,3,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,15,False,False,True,False,False,True,False,False,False,False,True,True,False
0,16,1,0,1,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,10,False,True,False,False,False,True,False,False,False,False,False,True,False
0,16,1,0,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,14,False,True,False,False,False,True,False,False,False,False,True,True,False
0,16,1,0,1,4,3,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,8,False,True,False,False,False,False,False,False,False,False,False,True,False
1,16,1,0,1,4,4,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,5,False,False,True,False,False,False,True,False,False,True,False,True,False
1,16,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,17,False,False,True,False,False,False,False,True,False,True,False,False,False
1,15,1,0,1,4,4,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,14,False,False,True,False,False,True,False,False,False,False,False,True,False
0,15,1,0,1,3,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,6,False,False,True,False,False,True,False,False,True,False,False,True,False
1,15,1,0,0,3,4,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,18,False,False,True,False,False,True,False,False,False,False,False,True,False
0,15,1,0,0,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,11,False,True,False,False,True,False,False,False,False,False,True,False,False
0,15,1,0,1,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,8,False,True,False,False,False,True,False,False,False,False,False,True,False
1,16,1,0,1,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,18,False,False,True,False,False,True,False,False,True,False,False,False,False
1,15,0,0,1,4,4,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,13,False,True,False,False,False,True,False,False,True,False,False,False,False
0,16,1,1,1,4,4,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,16,True,False,False,False,True,False,False,False,False,True,False,True,False
1,15,1,1,0,4,4,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,19,False,False,False,True,False,False,False,True,False,False,False,True,False
0,16,0,0,1,3,3,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,10,False,False,True,False,False,True,False,False,False,False,True,False,False
0,16,1,0,1,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,13,False,False,False,False,False,True,False,False,True,False,False,True,False
1,15,1,1,1,4,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,19,False,False,False,True,False,True,False,False,False,False,False,True,False
1,15,0,0,1,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,True,False,False,False,False,False,True,False,False,False,True,True,False
1,16,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,16,False,False,False,True,False,False,False,True,False,False,False,False,False
1,15,1,0,1,4,4,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,14,False,True,False,False,False,False,False,True,False,False,True,False,False
1,16,1,0,1,3,3,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,False,True,False,False,False,False,True,False,True,False,False,False,False
1,17,0,0,1,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,8,False,True,False,False,False,True,False,False,False,False,False,False,False
1,15,1,0,1,3,4,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,13,False,True,False,False,False,True,False,False,False,False,True,False,False
0,15,1,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,15,False,False,False,False,False,False,True,False,False,False,False,True,False
1,15,1,0,1,2,2,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,15,False,False,True,False,False,False,True,False,True,False,False,False,False
0,16,1,1,1,2,4,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,False,True,False,False,True,False,False,False,False,False,False,False,False
1,16,1,0,1,4,4,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,13,True,False,False,False,False,True,False,False,False,False,False,True,False
0,16,1,0,1,2,2,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,False,True,False,False,False,True,False,False,True,False,False,True,False
1,15,1,0,1,3,4,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,12,False,False,True,False,False,False,True,False,True,False,False,False,False
0,15,1,1,0,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,11,False,True,False,False,False,True,False,False,True,False,False,True,False
0,19,1,0,1,0,1,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,9,False,False,False,False,False,True,False,False,False,False,False,False,True
1,18,0,0,1,2,2,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,0,False,False,True,False,False,True,False,False,False,False,True,True,False
1,16,0,0,1,4,4,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,False,False,False,True,False,False,False,True,False,False,False,True,False
0,15,0,0,1,3,4,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False
0,15,1,0,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False
0,17,1,1,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,12,False,True,False,False,False,True,False,False,False,False,False,False,False
0,16,1,0,0,3,4,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,11,False,False,True,False,False,True,False,False,False,False,False,False,False
1,15,0,0,1,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False
0,15,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False
1,17,0,0,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False
0,16,1,0,0,3,3,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,0,False,True,False,False,False,True,False,False,False,False,False,False,True
1,16,1,1,1,1,1,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,12,False,False,True,False,False,True,False,False,False,False,False,True,False
0,15,1,0,1,4,4,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,15,False,False,False,True,False,False,False,True,False,False,False,True,False
1,15,1,0,1,4,3,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False
1,16,1,1,1,2,2,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9,False,False,True,False,False,False,True,False,False,False,True,False,False
0,15,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,11,False,False,False,True,False,False,True,False,False,False,False,True,False
0,16,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,13,False,False,False,False,False,False,False,False,False,False,False,True,False
1,17,1,0,1,2,1,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,0,False,True,False,False,False,True,False,False,True,False,False,True,False
0,15,1,0,1,1,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,11,False,True,False,False,False,False,True,False,False,False,False,False,False
0,15,1,0,1,3,2,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False
0,15,1,0,1,1,2,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,11,False,False,False,False,False,True,False,False,False,False,False,True,False
1,16,1,0,1,4,4,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False
1,15,1,1,0,2,1,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,10,False,False,True,False,False,True,False,False,False,False,False,True,False
1,18,1,1,1,1,1,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False
1,16,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,14,False,False,False,False,False,True,False,False,False,False,False,True,False
0,15,0,0,1,3,3,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,False,False,True,False,False,False,True,False,False,False,True,False,True
1,19,1,0,1,3,2,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False
0,17,1,0,1,4,4,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,12,False,True,False,False,False,False,False,True,False,False,False,True,False
1,15,0,0,1,2,3,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,8,False,False,False,False,False,False,True,False,False,False,False,True,False
1,17,0,1,1,1,2,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,13,False,True,False,False,False,True,False,False,False,False,True,True,False
0,18,0,0,1,1,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,10,False,False,False,False,False,True,False,False,False,False,False,True,False
1,16,0,0,1,2,2,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,15,False,False,False,False,False,True,False,False,False,False,False,True,False
1,16,1,0,1,3,3,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,12,False,True,False,False,False,False,True,False,False,False,False,False,False
1,17,0,1,1,2,1,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False
1,15,0,0,1,3,2,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,7,False,True,False,False,False,True,False,False,False,False,False,True,False
1,16,1,1,1,1,2,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False
1,17,1,0,1,1,3,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,10,False,False,False,False,False,False,True,False,False,False,False,False,False
1,17,0,1,1,1,1,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,7,False,True,False,False,False,False,True,False,False,False,False,True,False
1,16,1,0,1,3,2,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,12,False,False,True,False,False,False,True,False,False,False,False,True,False
1,16,1,0,1,2,2,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,10,False,True,False,False,False,True,False,False,False,False,False,False,False
0,16,1,0,1,4,2,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,16,True,False,False,False,False,False,True,False,True,False,False,False,False
0,16,1,0,1,2,2,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,0,False,True,False,False,False,True,False,False,True,False,False,True,False
0,16,1,0,1,4,4,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,14,True,False,False,False,True,False,False,False,False,False,True,True,False
1,16,1,0,1,3,4,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False
1,16,1,0,1,1,0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,16,False,True,False,False,False,True,False,False,False,False,True,True,False
1,17,1,1,1,4,4,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,10,False,False,False,True,False,True,False,False,False,False,True,True,False
0,16,1,0,1,1,3,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,0,False,False,False,False,False,False,True,False,True,False,False,True,False
