StudentID,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Online Classes Taken
8708,Female,88.0,10.0,86.0,0.0,Low,78.0,False
7690,Male,95.0,20.0,65.0,1.0,Medium,78.0,True
8451,Male,95.0,18.0,88.0,2.0,Medium,72.0,False
7770,Male,92.0,12.0,88.0,3.0,Medium,78.0,False
9998,Male,88.0,17.0,77.0,2.0,High,88.0,True
6091,Male,82.0,17.0,85.0,1.0,High,78.0,True
9165,Female,82.0,18.0,60.0,1.0,Medium,92.0,False
4122,Male,90.0,18.0,60.0,1.0,Low,85.0,False
9022,Male,85.0,12.0,77.0,1.0,Medium,72.0,False
7325,Male,85.0,15.0,65.0,2.0,Low,90.0,True
9617,Male,85.0,17.0,60.0,0.0,High,78.0,False
7512,Male,95.0,12.0,60.0,1.0,Low,78.0,True
4846,Female,92.0,20.0,60.0,1.0,Low,87.0,False
1474,Male,95.0,15.0,82.0,1.0,Medium,62.0,False
3950,Male,78.0,20.0,86.0,1.0,Low,92.0,True
4804,Male,88.0,17.0,82.0,1.0,Medium,85.0,True
8237,Female,91.0,18.0,60.0,2.0,Medium,85.0,False
2747,Male,70.0,22.0,88.0,3.0,Medium,85.0,False
5497,Male,91.0,15.0,86.0,1.0,Medium,92.0,True
4115,Female,78.0,20.0,78.0,2.0,Medium,80.0,True
2476,Female,95.0,8.0,65.0,3.0,High,72.0,False
3695,Female,85.0,18.0,88.0,2.0,Medium,87.0,False
6992,Male,70.0,15.0,82.0,1.0,High,78.0,False
7242,Female,90.0,25.0,77.0,1.0,Low,72.0,True
2035,Female,88.0,8.0,85.0,0.0,High,80.0,True
2592,Male,82.0,10.0,60.0,1.0,Medium,72.0,True
7797,Male,85.0,22.0,60.0,2.0,High,80.0,True
6942,Male,95.0,12.0,88.0,1.0,Medium,85.0,False
2501,Male,91.0,15.0,78.0,1.0,High,68.0,True
4394,Male,92.0,30.0,65.0,3.0,High,80.0,True
9850,Female,78.0,17.0,78.0,0.0,High,90.0,False
1258,Male,88.0,15.0,65.0,0.0,Low,87.0,False
6931,Male,85.0,12.0,90.0,3.0,High,72.0,True
1996,Female,70.0,8.0,85.0,1.0,Low,80.0,False
3430,Male,78.0,18.0,86.0,1.0,Low,90.0,False
8433,Female,90.0,20.0,70.0,3.0,Medium,78.0,False
2099,Male,90.0,20.0,60.0,2.0,Low,90.0,True
6400,Male,70.0,17.0,60.0,1.0,Medium,88.0,True
3535,Female,92.0,20.0,88.0,2.0,Medium,87.0,True
8030,Male,91.0,17.0,78.0,0.0,Medium,85.0,True
3972,Male,91.0,8.0,85.0,0.0,Low,80.0,True
7163,Female,85.0,30.0,78.0,1.0,Medium,90.0,True
1861,Male,78.0,22.0,78.0,2.0,Medium,78.0,False
7785,Female,92.0,12.0,85.0,1.0,Medium,87.0,False
9633,Female,85.0,25.0,60.0,3.0,High,80.0,True
5186,Female,95.0,20.0,78.0,1.0,Low,62.0,True
9196,Female,90.0,8.0,78.0,0.0,High,78.0,False
7626,Female,88.0,20.0,60.0,1.0,Medium,68.0,False
6928,Male,70.0,20.0,90.0,0.0,Low,62.0,False
6562,Male,95.0,10.0,85.0,2.0,Low,80.0,False
6752,Male,92.0,20.0,65.0,2.0,High,68.0,True
3902,Female,85.0,22.0,86.0,1.0,Low,88.0,False
6179,Male,85.0,20.0,77.0,1.0,Low,85.0,True
6766,Male,88.0,17.0,77.0,1.0,High,90.0,True
9307,Female,85.0,22.0,70.0,1.0,Medium,88.0,False
9214,Male,85.0,17.0,85.0,1.0,Low,87.0,True
5059,Female,85.0,12.0,70.0,3.0,High,90.0,False
7697,Female,91.0,15.0,88.0,2.0,Medium,87.0,False
5128,Male,95.0,20.0,86.0,0.0,Medium,85.0,False
3112,Male,88.0,12.0,60.0,1.0,High,72.0,False
9331,Female,85.0,30.0,82.0,0.0,High,90.0,True
4711,Male,78.0,20.0,82.0,2.0,Low,72.0,True
6517,Male,91.0,8.0,65.0,0.0,High,88.0,False
1715,Female,95.0,25.0,77.0,3.0,Medium,78.0,False
8684,Male,95.0,22.0,78.0,1.0,Medium,80.0,True
4271,Male,88.0,15.0,77.0,1.0,Low,87.0,True
5670,Male,78.0,18.0,77.0,2.0,High,62.0,False
6727,Male,70.0,15.0,60.0,2.0,Medium,92.0,False
4678,Male,95.0,20.0,88.0,0.0,High,80.0,True
8685,Female,91.0,15.0,85.0,1.0,Medium,92.0,False
2821,Female,92.0,17.0,85.0,1.0,High,80.0,False
2029,Male,85.0,22.0,70.0,1.0,Low,72.0,True
5772,Female,85.0,22.0,88.0,3.0,High,62.0,True
9576,Female,90.0,12.0,70.0,2.0,Low,72.0,True
7338,Female,88.0,15.0,88.0,2.0,Medium,92.0,True
6447,Male,85.0,30.0,70.0,1.0,Low,68.0,False
8840,Male,78.0,20.0,77.0,1.0,Medium,92.0,True
6170,Female,82.0,8.0,70.0,1.0,Medium,80.0,False
4060,Female,85.0,30.0,70.0,2.0,High,62.0,True
9937,Female,95.0,20.0,85.0,1.0,Low,85.0,False
3730,Female,95.0,17.0,78.0,1.0,Low,62.0,True
2229,Female,88.0,12.0,65.0,1.0,High,88.0,True
3068,Male,92.0,30.0,88.0,0.0,Low,80.0,False
7077,Female,85.0,20.0,86.0,0.0,Low,90.0,False
5089,Male,85.0,17.0,77.0,2.0,Medium,72.0,False
8311,Male,91.0,18.0,77.0,3.0,High,68.0,True
8292,Male,95.0,30.0,85.0,2.0,Low,85.0,True
6922,Male,90.0,25.0,65.0,3.0,Medium,80.0,False
8657,Male,91.0,20.0,85.0,2.0,Medium,78.0,False
2208,Male,95.0,20.0,77.0,1.0,High,72.0,True
3114,Female,82.0,15.0,85.0,2.0,High,85.0,True
6669,Female,90.0,18.0,90.0,1.0,High,68.0,True
9234,Male,91.0,22.0,65.0,0.0,Low,88.0,False
1674,Male,90.0,15.0,86.0,2.0,Low,92.0,True
9159,Female,88.0,17.0,90.0,0.0,Medium,78.0,True
8202,Female,85.0,17.0,90.0,1.0,Low,68.0,False
6658,Female,78.0,30.0,70.0,2.0,High,90.0,False
8366,Male,78.0,20.0,78.0,2.0,Medium,88.0,True
6123,Male,78.0,17.0,78.0,1.0,Medium,85.0,False
5681,Male,90.0,8.0,65.0,2.0,Low,90.0,True
7563,Male,91.0,12.0,90.0,1.0,Low,85.0,False
4261,Female,82.0,15.0,78.0,1.0,High,90.0,False
3440,Male,95.0,17.0,88.0,0.0,Medium,80.0,False
9311,Female,91.0,18.0,78.0,1.0,Medium,90.0,False
1436,Female,88.0,22.0,86.0,3.0,Low,80.0,False
3421,Male,85.0,22.0,85.0,3.0,High,78.0,False
4340,Female,82.0,22.0,77.0,1.0,Low,68.0,False
8837,Female,95.0,10.0,77.0,2.0,Medium,72.0,False
8932,Male,92.0,18.0,70.0,2.0,High,85.0,True
9011,Female,85.0,30.0,70.0,2.0,Medium,87.0,False
7464,Female,78.0,18.0,78.0,2.0,Low,87.0,False
8849,Male,92.0,12.0,82.0,2.0,Low,85.0,True
4972,Male,82.0,25.0,90.0,1.0,High,62.0,True
3252,Male,82.0,17.0,60.0,1.0,Medium,92.0,False
5676,Male,90.0,22.0,90.0,2.0,Low,80.0,False
3880,Male,70.0,17.0,65.0,2.0,High,80.0,True
6489,Female,85.0,12.0,70.0,1.0,High,72.0,True
6417,Male,85.0,18.0,65.0,1.0,Low,90.0,True
3875,Female,70.0,12.0,88.0,2.0,Medium,87.0,False
5285,Female,92.0,15.0,85.0,1.0,High,68.0,False
2923,Male,95.0,22.0,90.0,3.0,High,78.0,False
7813,Female,82.0,25.0,90.0,3.0,High,72.0,False
2279,Male,85.0,12.0,70.0,3.0,Low,72.0,False
2904,Male,91.0,17.0,85.0,2.0,Medium,80.0,False
8484,Male,82.0,17.0,82.0,1.0,Medium,85.0,True
5703,Female,78.0,10.0,60.0,1.0,Medium,80.0,False
1372,Female,85.0,12.0,60.0,2.0,Medium,92.0,True
5516,Male,90.0,15.0,60.0,3.0,High,80.0,True
8314,Male,92.0,15.0,60.0,1.0,High,72.0,True
3295,Female,92.0,22.0,78.0,3.0,Low,90.0,True
7775,Male,88.0,15.0,70.0,3.0,Low,68.0,False
1768,Female,88.0,12.0,88.0,0.0,Medium,68.0,False
4948,Male,88.0,10.0,77.0,1.0,Low,62.0,True
7363,Male,88.0,25.0,88.0,2.0,Medium,90.0,True
1844,Female,70.0,22.0,86.0,1.0,High,92.0,True
8854,Male,95.0,18.0,78.0,3.0,High,87.0,False
4974,Male,70.0,25.0,70.0,1.0,Medium,62.0,False
6053,Female,95.0,12.0,77.0,1.0,High,78.0,True
7073,Female,70.0,17.0,86.0,3.0,Low,68.0,False
5836,Male,92.0,30.0,90.0,0.0,Low,92.0,False
5216,Female,85.0,17.0,65.0,1.0,High,68.0,True
9882,Male,82.0,15.0,85.0,1.0,High,62.0,True
2113,Male,85.0,25.0,70.0,1.0,Medium,80.0,False
8993,Male,85.0,12.0,70.0,0.0,High,80.0,False
1280,Female,78.0,20.0,85.0,2.0,High,92.0,False
6807,Female,70.0,20.0,88.0,0.0,Medium,88.0,True
5914,Male,85.0,20.0,60.0,0.0,Medium,72.0,True
3807,Male,85.0,8.0,78.0,3.0,High,72.0,True
8790,Female,85.0,20.0,82.0,2.0,Low,80.0,True
4394,Male,88.0,17.0,82.0,0.0,Low,92.0,False
7288,Male,90.0,12.0,88.0,1.0,High,62.0,False
7499,Female,85.0,18.0,77.0,1.0,High,90.0,False
4043,Female,90.0,22.0,82.0,3.0,Low,87.0,False
3527,Female,95.0,30.0,78.0,2.0,High,85.0,False
2674,Male,90.0,10.0,60.0,1.0,Low,72.0,True
2468,Female,82.0,20.0,86.0,3.0,Medium,62.0,False
2387,Male,91.0,12.0,65.0,0.0,High,68.0,False
3390,Male,78.0,8.0,82.0,0.0,Medium,78.0,False
5040,Female,91.0,22.0,90.0,1.0,High,68.0,False
7224,Female,85.0,30.0,60.0,3.0,High,85.0,True
8848,Female,78.0,8.0,88.0,2.0,Low,78.0,True
6339,Female,88.0,8.0,88.0,2.0,Low,92.0,True
1440,Female,92.0,17.0,82.0,2.0,Medium,80.0,True
5139,Male,70.0,8.0,85.0,1.0,Low,78.0,False
9907,Male,95.0,12.0,86.0,2.0,High,92.0,True
1725,Female,95.0,8.0,85.0,1.0,High,85.0,True
8303,Female,70.0,17.0,86.0,2.0,High,90.0,True
5840,Female,90.0,20.0,65.0,1.0,Medium,90.0,False
6706,Female,90.0,17.0,77.0,1.0,High,85.0,True
1370,Female,90.0,10.0,90.0,2.0,High,72.0,False
8570,Male,70.0,10.0,65.0,1.0,Medium,80.0,False
8037,Female,85.0,25.0,90.0,2.0,Low,87.0,True
6993,Female,88.0,17.0,85.0,2.0,Low,78.0,False
7367,Female,91.0,20.0,88.0,1.0,Medium,88.0,False
2388,Male,95.0,20.0,90.0,2.0,High,68.0,False
7852,Male,91.0,8.0,60.0,0.0,Medium,72.0,True
3733,Female,88.0,10.0,65.0,1.0,Medium,88.0,True
8939,Male,92.0,8.0,70.0,2.0,Low,78.0,False
8272,Female,78.0,20.0,86.0,1.0,High,85.0,False
3755,Female,91.0,17.0,70.0,2.0,High,88.0,False
9880,Male,85.0,12.0,90.0,0.0,High,92.0,False
5305,Female,90.0,17.0,85.0,3.0,High,88.0,False
3719,Male,92.0,25.0,78.0,3.0,Medium,72.0,True
6302,Female,88.0,22.0,82.0,1.0,Low,87.0,False
1971,Female,78.0,10.0,90.0,0.0,Low,90.0,False
9019,Male,91.0,18.0,60.0,0.0,Medium,87.0,True
7600,Female,95.0,17.0,77.0,1.0,Low,80.0,True
8511,Female,90.0,12.0,60.0,3.0,Medium,92.0,False
6533,Male,91.0,17.0,88.0,1.0,High,87.0,True
3035,Male,85.0,17.0,78.0,0.0,High,68.0,True
5489,Male,95.0,18.0,85.0,1.0,Low,68.0,False
4836,Female,90.0,20.0,78.0,1.0,Medium,87.0,False
1152,Male,88.0,20.0,60.0,0.0,Medium,87.0,True
2690,Female,95.0,18.0,65.0,0.0,High,68.0,True
3688,Female,95.0,25.0,65.0,0.0,Low,78.0,True
3293,Male,91.0,8.0,88.0,0.0,Medium,68.0,True
5065,Female,85.0,18.0,90.0,2.0,Low,72.0,False
1894,Male,85.0,8.0,85.0,3.0,Medium,88.0,False
6185,Male,70.0,22.0,60.0,1.0,Low,68.0,True
1273,Male,85.0,18.0,90.0,1.0,High,62.0,False
7939,Female,90.0,12.0,70.0,3.0,High,85.0,True
3545,Female,70.0,22.0,85.0,2.0,Low,62.0,True
5005,Male,70.0,20.0,77.0,3.0,Low,80.0,True
2956,Male,78.0,15.0,65.0,1.0,Medium,72.0,False
3735,Female,78.0,18.0,85.0,1.0,Medium,62.0,False
2262,Female,85.0,12.0,88.0,1.0,Medium,88.0,False
2685,Male,92.0,12.0,78.0,1.0,High,92.0,False
3458,Male,85.0,12.0,60.0,3.0,High,92.0,False
5444,Male,91.0,30.0,85.0,2.0,Low,80.0,True
7568,Male,85.0,18.0,82.0,1.0,High,72.0,True
5777,Female,91.0,25.0,77.0,1.0,Low,78.0,True
6488,Male,70.0,18.0,85.0,3.0,Low,92.0,True
5584,Male,85.0,25.0,70.0,0.0,Low,90.0,True
2565,Male,70.0,20.0,86.0,3.0,High,62.0,True
5778,Female,95.0,8.0,88.0,1.0,Medium,85.0,True
8404,Female,85.0,18.0,85.0,2.0,High,85.0,True
4522,Female,78.0,20.0,90.0,1.0,Medium,72.0,False
3848,Male,70.0,17.0,70.0,2.0,High,87.0,True
2989,Male,85.0,25.0,65.0,3.0,Medium,90.0,True
5240,Male,85.0,20.0,90.0,1.0,High,87.0,True
1699,Female,85.0,10.0,86.0,0.0,Low,62.0,False
3831,Female,92.0,10.0,82.0,2.0,High,68.0,True
5835,Female,70.0,12.0,77.0,1.0,High,85.0,True
9614,Male,82.0,15.0,60.0,1.0,Medium,72.0,False
7363,Female,78.0,15.0,88.0,3.0,High,80.0,False
1959,Female,88.0,17.0,86.0,3.0,High,87.0,False
9743,Male,92.0,22.0,60.0,1.0,High,68.0,False
1462,Female,91.0,22.0,65.0,3.0,High,78.0,False
1621,Male,85.0,25.0,86.0,3.0,High,72.0,True
3137,Female,78.0,30.0,78.0,1.0,High,88.0,True
9622,Female,90.0,17.0,60.0,3.0,High,90.0,True
8157,Female,95.0,10.0,70.0,3.0,Medium,92.0,False
6026,Female,78.0,10.0,78.0,3.0,Medium,88.0,False
4619,Male,85.0,10.0,88.0,2.0,High,90.0,True
6500,Female,85.0,18.0,90.0,3.0,Low,87.0,True
1020,Male,70.0,17.0,60.0,0.0,Medium,80.0,False
2661,Female,91.0,25.0,65.0,1.0,High,80.0,False
2715,Male,95.0,10.0,60.0,0.0,Low,87.0,False
8909,Male,70.0,10.0,86.0,0.0,High,80.0,True
7705,Female,88.0,18.0,90.0,2.0,High,62.0,True
1893,Female,85.0,8.0,85.0,2.0,Low,88.0,True
4390,Male,88.0,20.0,77.0,2.0,Medium,62.0,False
2493,Female,78.0,30.0,60.0,1.0,High,78.0,False
5315,Male,88.0,22.0,78.0,0.0,Low,87.0,False
4727,Male,70.0,12.0,60.0,2.0,Low,78.0,False
5896,Male,70.0,15.0,70.0,3.0,Low,88.0,True
2970,Female,78.0,10.0,90.0,3.0,High,80.0,False
4308,Male,91.0,18.0,88.0,2.0,High,62.0,False
5525,Female,85.0,22.0,86.0,2.0,Medium,87.0,True
2730,Male,88.0,12.0,88.0,0.0,Medium,62.0,False
1613,Male,88.0,8.0,65.0,3.0,Low,62.0,True
1807,Female,88.0,30.0,78.0,1.0,Medium,80.0,True
4734,Male,88.0,17.0,88.0,2.0,Low,62.0,True
8237,Male,70.0,17.0,70.0,1.0,High,72.0,False
9303,Female,78.0,12.0,86.0,1.0,High,92.0,True
5087,Male,85.0,15.0,88.0,3.0,Medium,80.0,False
6640,Male,88.0,20.0,82.0,1.0,Medium,80.0,True
4626,Male,92.0,18.0,60.0,2.0,High,80.0,True
1138,Male,88.0,22.0,82.0,2.0,Medium,62.0,False
4575,Female,88.0,12.0,86.0,0.0,Low,87.0,True
5631,Female,90.0,17.0,85.0,1.0,Medium,90.0,False
4086,Male,82.0,25.0,78.0,3.0,Medium,90.0,True
9148,Female,88.0,8.0,60.0,0.0,Low,80.0,True
6622,Male,82.0,17.0,88.0,2.0,Medium,68.0,True
5813,Male,85.0,10.0,82.0,2.0,High,90.0,False
4659,Female,70.0,30.0,78.0,2.0,Low,85.0,False
1879,Male,85.0,25.0,70.0,2.0,Low,62.0,True
3470,Male,92.0,30.0,60.0,3.0,Medium,68.0,True
2324,Female,95.0,10.0,88.0,1.0,High,78.0,True
3595,Female,90.0,10.0,86.0,1.0,Low,62.0,False
1076,Male,82.0,25.0,88.0,1.0,Medium,72.0,True
1749,Female,88.0,17.0,70.0,3.0,Low,80.0,True
6615,Female,95.0,25.0,65.0,0.0,High,92.0,True
1359,Male,90.0,30.0,78.0,0.0,Low,85.0,True
1785,Male,85.0,15.0,85.0,0.0,Medium,62.0,False
3508,Male,85.0,18.0,60.0,2.0,Low,72.0,True
7862,Male,82.0,22.0,85.0,2.0,High,87.0,True
6416,Male,85.0,15.0,85.0,2.0,Low,78.0,True
2659,Female,92.0,17.0,82.0,2.0,Medium,80.0,True
5760,Female,95.0,8.0,85.0,2.0,High,80.0,True
6384,Female,88.0,22.0,82.0,2.0,Medium,90.0,False
8479,Female,70.0,17.0,60.0,0.0,High,68.0,True
2699,Female,91.0,17.0,86.0,1.0,High,88.0,True
9598,Male,95.0,12.0,70.0,1.0,High,62.0,False
6664,Female,78.0,12.0,86.0,1.0,High,68.0,False
3709,Male,85.0,30.0,90.0,1.0,Medium,80.0,False
7607,Male,90.0,17.0,77.0,3.0,Medium,87.0,False
2944,Female,85.0,20.0,78.0,0.0,High,72.0,False
9328,Male,85.0,30.0,88.0,1.0,High,78.0,False
6952,Female,90.0,20.0,90.0,1.0,Medium,90.0,False
2741,Male,78.0,17.0,65.0,0.0,High,85.0,True
7437,Male,85.0,25.0,88.0,2.0,Medium,80.0,True
8381,Female,91.0,12.0,65.0,1.0,High,72.0,False
8912,Male,91.0,10.0,65.0,2.0,Medium,88.0,False
7859,Male,88.0,8.0,88.0,2.0,Medium,68.0,False
9975,Female,82.0,17.0,90.0,3.0,Low,85.0,True
3913,Female,90.0,17.0,70.0,1.0,Low,88.0,False
9747,Female,70.0,17.0,70.0,2.0,High,62.0,True
4275,Female,78.0,17.0,82.0,0.0,High,85.0,True
6876,Female,90.0,22.0,70.0,3.0,Low,72.0,False
1769,Female,70.0,8.0,88.0,2.0,High,80.0,False
4695,Female,88.0,12.0,86.0,3.0,Low,92.0,True
4063,Male,82.0,20.0,60.0,1.0,Medium,85.0,True
5178,Male,95.0,17.0,65.0,1.0,High,90.0,True
9037,Female,90.0,30.0,70.0,3.0,High,72.0,True
7814,Female,90.0,30.0,90.0,3.0,Low,90.0,True
9691,Female,82.0,15.0,85.0,1.0,Medium,92.0,True
1653,Female,70.0,20.0,60.0,2.0,Low,85.0,False
9426,Female,85.0,17.0,82.0,3.0,Medium,72.0,True
9814,Male,90.0,25.0,90.0,0.0,High,92.0,False
2181,Male,85.0,17.0,88.0,1.0,High,87.0,False
2154,Male,88.0,8.0,60.0,1.0,Low,62.0,False
2938,Male,91.0,20.0,86.0,1.0,Low,87.0,True
5748,Female,91.0,20.0,82.0,1.0,Medium,62.0,False
3561,Male,78.0,8.0,70.0,2.0,Low,68.0,False
1182,Male,90.0,15.0,78.0,3.0,Low,62.0,True
4441,Female,92.0,8.0,70.0,0.0,High,68.0,True
2877,Male,91.0,15.0,70.0,1.0,Low,72.0,True
5107,Male,92.0,22.0,77.0,1.0,Medium,68.0,True
5671,Male,92.0,30.0,77.0,1.0,Medium,88.0,True
6971,Female,88.0,10.0,78.0,1.0,High,92.0,False
5533,Female,78.0,30.0,77.0,1.0,Medium,90.0,True
3879,Male,88.0,10.0,70.0,3.0,Medium,87.0,True
7637,Male,85.0,12.0,82.0,2.0,Low,78.0,False
7430,Male,91.0,18.0,65.0,1.0,Low,72.0,True
4913,Male,82.0,10.0,77.0,0.0,High,88.0,True
9485,Female,70.0,17.0,77.0,1.0,High,90.0,False
5314,Male,70.0,8.0,88.0,3.0,Low,87.0,True
9460,Female,95.0,30.0,77.0,1.0,Low,80.0,False
3713,Male,90.0,12.0,82.0,3.0,High,68.0,True
4773,Female,95.0,20.0,77.0,1.0,Medium,92.0,False
1367,Male,85.0,10.0,86.0,3.0,High,68.0,True
1916,Male,88.0,10.0,70.0,0.0,Low,88.0,False
2404,Male,85.0,22.0,77.0,1.0,High,92.0,True
3979,Female,78.0,17.0,77.0,3.0,Low,87.0,True
2778,Male,92.0,17.0,70.0,0.0,High,88.0,True
9706,Male,90.0,17.0,65.0,3.0,Low,80.0,False
9553,Female,95.0,15.0,70.0,0.0,High,78.0,False
2600,Female,78.0,18.0,77.0,3.0,High,85.0,False
5223,Male,85.0,15.0,86.0,2.0,High,72.0,True
6175,Female,95.0,20.0,65.0,0.0,Low,88.0,False
6990,Female,70.0,25.0,60.0,2.0,Low,78.0,False
5157,Female,91.0,17.0,60.0,0.0,Low,87.0,True
2642,Male,82.0,8.0,88.0,2.0,Low,80.0,True
2492,Male,85.0,22.0,60.0,2.0,High,85.0,True
7296,Female,91.0,12.0,82.0,3.0,High,68.0,True
4304,Female,92.0,15.0,86.0,2.0,Low,92.0,True
6893,Male,85.0,10.0,85.0,2.0,Medium,90.0,True
9482,Male,90.0,20.0,70.0,2.0,Low,72.0,False
5530,Male,91.0,25.0,77.0,0.0,Low,80.0,True
2185,Female,95.0,20.0,70.0,2.0,Low,88.0,False
8923,Male,95.0,17.0,77.0,3.0,High,78.0,False
4610,Male,95.0,8.0,88.0,2.0,Low,80.0,True
5706,Male,70.0,30.0,85.0,2.0,High,78.0,False
3994,Male,85.0,25.0,90.0,3.0,Medium,92.0,False
6167,Female,91.0,18.0,77.0,0.0,High,85.0,True
1887,Female,85.0,12.0,78.0,2.0,Medium,62.0,True
8490,Male,82.0,17.0,88.0,1.0,High,92.0,False
6924,Female,78.0,12.0,78.0,3.0,Medium,78.0,False
4013,Male,70.0,25.0,60.0,1.0,Medium,62.0,True
4744,Male,88.0,25.0,70.0,0.0,Medium,92.0,True
